Title,Label
"PM Modi distorts Mani Shankar Aiyarâs statement, terms Rahul Gandhiâs elevation as âAurangzeb Rajâ",0
"Modi govts Ayushman Bharat not for common man but for insurance firms, says Congress",1
Fake: MHA has not ordered arrest of firm owner if employee tests positive for coronavirus,0
Dont fall for this morphed picture of PM Modi; heres the...,0
Wheat procurement 18.35 per cent less than last year,1
No! The woman reciting Quran is not Lady Gaga,0
Video Of Nirmala Sitharaman Touch The Feet Of Slain Jawan's Mother...,0
Fact Check: Temple showcasing unity among religions faces social media fury,0
Election Contestants will now have to disclose ?Sources of Income?.  Will this have any impact?,0
Supreme Court to hear final arguments in National Herald case on 4 December,1
"70% people in Bengal, Assam satisfied with PMs work",1
One of the fastest spreading cancers that ails 2 of Indiaï¿½s top politicians,1
Mumbai copsÛª order for action against fake news is legal: Maharashtra govt,1
"Bengal under lockdown, so BJP is celebrating Ram Mandir bhoomi pujan at home ï¿½  ï¿½in protestï¿½",1
Woman scientist from Delhi finds solution for nuclear weapons in dust particles,1
"Delhi riots: Politicos like Salman Khurshid, Brinda Karat gave provocative speeches, says cÛªsheet",1
"ÔMonsoon clouds at doorstep of Delhi, onset to be declared on May 25Õ: IMD",1
Bengaluru climate activist 'picked up' from home in Greta Thunberg 'toolkit' case,1
"Coronavirus: Rajasthan reports 76 new cases, state tally rises to 7,363",1
"Sensex rallies nearly 1,000 points as Nirmala Sitharaman presents Budget 2021",1
Prashant Bhushan regrets ÔerrorÕ in his October 21 tweet on CJI,1
"Heads of nations, including Nepal, greet India on I-Day; Netanyahu says, ÔYou have so much to be proud ofÕ",1
CaptainÕs weaknesses allowing Modi to arm-twist Punjab: Bhagwant Mann,1
Congressï¿½ B. K. Hariprasad to be opposition nominee for RS deputy chairmanï¿½s post: Sourcesï¿½,1
"BJPÕs Bihar challenge: Wider RJD base, Left revival, its own new faces",1
Video labelled as âterrorist infiltrationâ in Kashmir traced back to police academy in Pakistan,0
"Fact Check: Madras high court did not ?change? its logo to Hindi?. Indias Supreme Court did not approve this logo for teachers, central government says",0
CongressâBJP Football Match Ends In A Draw At 5 Self-Goals Each,0
"Priyanka Gandhi shares old images of Assam, Bihar flood as recent",0
"Administrative will, change in mindset to allow women in Army command posts: SC",1
Digital health IDs for all citizens by 2022,1
"Fact Check: No, this man standing next to BJP leaders is not the father of Hathras rape accused. Fact Check: Was Modi right about Congress leaders not meeting Bhagat Singh in jail?",0
"For Shiv Sena and BJP, battle for BMC will dominate 2021",1
"Germany offers India Rs 3,893 cr to fight virus",1
377 Ruling: Jaitley Disagrees With SC That Sexuality Is Part Of Free Speech,1
"Doctors removed my ventilator, bye daddy': Covid patient shares 'selfie-video' before dying",1
Andhra Pradesh Forest Department rescues elephant from 15 feet deep ditch,1
"Odisha: Suspected of witchcraft, 6 elderly men forced to eat human excreta, their teeth pulled out",1
"In a first, no parents at IMA passing out parade; event to be telecast live",1
Vijayvargiya ÔChunnu-MunnuÕ remarks violated poll code provisions: Election Commission,1
ED attaches Rs 103-crore assets in Bike Bot scam,1
8-year-old among 11 killed in violent protests against Citizenship Act in UP,1
BJP MPs Uninstall Torrent Applications To Protest Against Anurag Kashyap,0
Debunking the 10 question conspiracy theory about Rajiv Gandhiâs assassination,0
"Bajrang Dal rally for Ram Mandir donations attacked in Ujjain, cops raze house of accused",1
"With no evidence of love jihad, man released from jail but UP police say probe to continue",1
"Coronavirus cases top 9,000 in Mumbai; 18 more patients die",1
PM Modi to attend symbolic launch of new parliament building today,1
Chinese reading Quran after ban lifted in view of coronavirus? Old video viral,0
False claim: Receiving call from â777888999â will cause your phone to explode,0
Fact Checked: Dont believe this picture of Rahul Gandhi; heres the...,0
Fact Check: Picture of BJP workers forming human flag is not from Yogis rally in Kerala,0
Fake Time magazine cover featuring Donald Trump and Hitler goes viral.Fact check: Viral image of Trumps pic as Hitlers moustache on Time magazine cover is false,0
Mizoram becomes COVID-free with recovery of lone patient,1
ï¿½Indian economy is reboundingï¿½ ï¿½ BJP defends Modi govt in social media campaign,1
Old Video Of A Cable Car Fire In Palestine Passed Off As Haridwar's....From Saffron Sea To Temple Demolition; Fake News Menace In Time Of Elections,0
"Hathras shocking, says Supreme Court; wants witnesses protected",1
Pakistan PM Imran Khan comes out in support of friend Sidhu,1
"No, This Is Not A Video Of A Boulder Striking A Car On NH10",0
"79 CRPF jawans, soldier among 183 tested COVID +ve in J&K",1
"Akalis could look at BSP for alliance, and BJP at a new SAD, as curtains fall on old ties",1
Fact Check: Misleading claims over woman's body found in paddy field in Bengal,0
India holding existing positions along LAC; itÛªs not a Û÷forward policyÛª,1
445 Bangladeshis returned from India in last two months: BGB Director General,1
School skit promoting India-Bangladesh brotherhood shared with hate-filled narrative,0
Declare wet drought in Maharashtra: BJP MP,1
"Former chiefs of Army, Navy, Airforce claim armed forces being used for political gains",1
Jagan hit CM Naidu for splurging crores of public money on house. Now heï¿½s doing the same,1
"This BJP MP is not criticizing his own government for PMC Bank fraud.No, this is not a photo of a senior BJP politician after he voted for the opposition in India's 2019 elections",0
Fact Check: Did Farmers Disrespect The Indian National Flag During The...,0
"World Bank corrects ease of doing business rankings after data probe, India isnt affected",1
Nitish kicks off poll campaign,1
Family of Hathras gang rape victim leaves to appear before Lucknow bench of Allahabad High Court,1
"Shaheen Bagh shooters family denies police claim, says no links with AAP",1
"Army soldier martyred, 2 injured in Pakistani shelling",1
Fact check: Meat thrown near entrance of Shiv temple in Jharkhand,0
"Kerala rains: 6 districts on red alert, opening of dam shutters aggravate flood situation; Mullaperiyar raises concerns",1
"Russian FM to visit India to boost defence, energy ties",1
Dassault aviation has not made good on its offset obligation to DRDO on Rafale deal: CAG,1
State-wise fake university released by UGC,0
Kangana Ranaut fears the day when she'll stop making headlines: Shabana Azmi,1
"No, these are not photos of Indian soldiers after a deadly Kashmir suicide attack",0
"Fact Check: Deepika Padukone, Ranveer Singh and SSRÕs friend Sandip Ssingh...",0
Google is wading into a market that China really wants to own,1
Fact Check: Did TMC insult the Tricolour? Here's the truth.Fact Check: Here?s the truth behind this picture of SSR?s sister...,0
129 arrested over clashes between two communities in West BengalÕs Telinipara,1
"No, Anna Hazare Did Not Make Fun Of Arvind Kejriwal Being Slapped",0
"Foreign Funds case: SC asks Indira Jaising, Anand Grover to reply",1
"After joining hands with BJP, Ajit Pawar holds meeting with NCP MLAs at brothers house",1
All India Taxi Union threatens to go on strike if demands of agitating farmers not met within 2 days,1
"ÔNationalism means Hitler, Nazism, FascismÕ, says RSS chief Mohan Bhagwat",1
Maharashtra shrines reopen today,1
This photo shows a demonstration in Chile in 2016,0
Efforts on to introduce certification system for organic Indian cotton: Smriti Irani,1
"Unable to pay bank loan, farmer commits suicide by hanging",1
"Owaisi says Muslims, Dalits have been squeezed between BJP & Congress and used for votes",1
Active Covid cases over 30K in Bengal as recovery rate takes a hit,1
Birla to invest $2.4 billion across businesses as V-shaped recovery takes hold,1
DonÕt believe the FAKE news of Sanath Jayasuriya being killed in...,0
"Talks fine but no precondition, say farmers",1
Top Indian diplomat in Pak wants to explain IndiaÕs stance on JadhavÕs counsel appointment: IHC told,1
"Manmohan Singh didnÕt hold sweet box like a ÔservantÕ for Gandhi family, Rahul held it too",0
"Fact Check: Another lockdown in Delhi? No, this was last years announcement by Kejriwal ",0
Old misreport shared as BJP killed its own worker in West Bengal,0
This is the message from Congress as it snubs its UP chief Raj Babbar,1
Delhi CM Arvind Kejriwal tests negative for coronavirus,1
Two arrested over fake Book My Show website,0
Indiaï¿½s iron & steel exports to China surge despite LAC tensions ï¿½ $1.86bn trade in Apr-Aug,1
Trump In India: Video Of Taj Replica In Bhopal Being Cleaned Goes,0
"Hollandeï¿½s truth on Rafale canï¿½t have two versions, says Arun Jaitley",1
"Congress says itï¿½s open to alliance with AGP in Assam, gets the cold shoulder",1
"500 vehicles, 79 houses, 52 shops gutted in fire during Delhi clashes: Officials",1
Finance Minister leaves for Parliament to present Budget 2021,1
"Fact Check: No, this fountain is not powered by om.This girl is not holding this placard; Here is the fact...",0
"No FIR registered for vandalism of Reliance Jio towers in Punjab, Governor summons CM, DGP",1
Jio and Facebook can drive India to achieve its $5 tn economy goal ï¿½ Mukesh Ambani,1
BJP leader Jyotiraditya Scindia tests positive for Covid-19,1
"No, Chandrashekhar AzadÕs real name is NOT Naseemuddin Khan",0
Shiv Ling at Varanasi temple made to wear mask to protect from pollution,1
Fact Check: Salman Khan did not call Sushant Singh Rajput a...,0
"No, Bobby Deol did not make this statement, heres the fact...",0
Triumph of Hindutva movement would mark end of ÔIndian ideaÕ: Tharoor,1
Former Bihar DGP Gupteshwar Pandey joins Nitish Kumars JD(U) ahead of elections,1
Covid cases haven't yet peaked or even plateaued: AIIMS director,1
"Fact Check: Old, tampered video of Arvind Kejriwal asking to vote for Congress goes viral.Fact Check: Morphed Picture Of Sonu Sood Holding A Poster Asking People Of Bihar To Vote For...",0
Viral image of infantÕs lifeless body: Death unrelated to Bihar floods,0
"Monkey beaten, hung to death from tree in Telangana",1
317 Germans and European passengers evacuated from Goa amid lockdown,1
Nearly 50% of India's working women feeling increased stress due to pandemic: Survey,1
"31 rallies, 10 days, 9 states: Narendra Modis feverish last leg of campaigning",1
Private players to be game changers as govt plans J&K projects: Governor Maliks advisor,1
Govt told to frame norms on disposal of cigarette butts,1
Fact Check: Justin Trudeau did not back Tamil Naduï¿½s anti-Hindi stir,0
"PM Modi invites Canadian businesses to invest in education, agriculture, manufacturing sectors",1
"Sena compares BJP to Muhammad Ghori, says paid price for letting it grow in Maharashtra",1
"Not just Shiv Sena and NCP, BJP too didnï¿½t get extra time from governor to form govt",1
"Chhattisgarh minister says rape of minor ÔsmallÕ incident, BJP seeks his removal",1
"Citizens should read Constitutionï¿½s Preamble on Republic Day, says RSS chief Mohan Bhagwat",1
Fact Check: DonÕt believe this FAKE post asking you to share...,0
"Fact-Checking Viral Video, Images Of Karnataka CM's Aerial Survey",0
"No, this is not a photo of a Kashmiri woman beaten by the Indian Army",0
What Farooq Abdullahs release means for mainstream politics in Kashmir,1
Woman goes back on her statement in rape case against former SP minister,1
False claim: Receiving call from Ô777888999Õ will cause your phone to explode,0
Supreme Court to pronounce verdict on restrictions imposed in Jammu and Kashmir,1
Fact Check: Is Telecom Department Providing Free Internet Till May 17?,0
Being BJP lite will end up making Congress zero: Shashi Tharoor,1
"IndiaÕs coronavirus tally crosses 57-lakh mark, death toll over 91,000",1
No! The soldier in the picture is not Israeli PMï¿½s son,0
"Fact Check: No, 10,000 Sim Cards Were Not Purchased By Muslim Man To Create Communal Unrest",0
Here?s the truth about the picture of Narendra Modi with Indira....Fact Check: Is this Amit Shah touching the feet of Swami Nithyananda?,0
These amazing videos are NOT of Diwali celebration at naval base,0
"Û÷All because of lockdown, Govt canÛªt only focus on businessÛª: SC pulls up Centre on moratorium issue",1
Does Lalu Prasad Yadav has AC room in Jail? Fact Check!.Fact Check: Was PM Modi wearing shoes inside Kedarnath temple?,0
"Medical team, medicines provided by India helpful to combat COVID-19: Maldives Prez to PM Modi",1
Newly sworn Minister Anantkumar Hegdeâs Twitter account gives a peek into his mindset,0
20 Countries With Most COVID-19 Cases Have Conducted 28X Tests That India Has.Fact Check: Has Russia gifted 1 million doses of Covid vaccine to Pakistan?,0
ECÕs notice to BJPÕs Tajinder Pal Singh Bagga over campaign song amounting to Ôsuspected paid newsÕ,1
Fact Check: Dont fall for this misleading post about Salman Khan,0
"MPs ask Speaker Om Birla for classes on different bills, then bunk the lessons",1
Fact Check: Old picture of a Hindu priest at Iftar party...,0
1951 to 2014 ? How did the Lok Sabha election numbers change?,0
Donât believe Dr Manisha Patilâs death rumor; Here is the truth about the viral photo,0
"Masquerading as Govt initiatives, scam websites con readers with offers of free bicycles, helmets",0
The Congress vs Congress politics playing out in Punjab as Team Rahul takes on Amarinder,1
Audio clip claiming 59 have tested positive for COVID-19 in Nagpur is fake,0
"Bihar polls: With LJP out of the equation, NDA parties get level-playing field; BJP gets 121 seats, JD(U) 122",1
This video shows an Italian journalist offering Mike Pompeo Parmesan cheese in protest against US tariffs on European goods.Dubbaka Bypolls: Old Video Of TRS Workers Distributing Money Revived,0
"Mamata Banerjee calls Binay Tamang, other anti-Bimal Gurung Gorkha leaders for meeting",1
Sushant death case: Rhea appears before CBI for first time; grilled for over 10 hours,1
"Fact Check: Is This Man One Of Hathras Gang-Rape Accused & Congress Leader?.Fact Check: No, this man standing next to BJP leaders is not the father of Hathras rape accused",0
How Pakistanis are posing as NRIs and marrying women from Punjab,0
"Delhi: 2 arrested for duping investors of Rs 42,000 cr in 'Bike Boat' ponzi scheme",1
"Fact Check: Yes, India sent missiles to Pakistan during Kargil war with Raveena Tandonâs love message",0
CBI arrests ex-Karnataka minister Roshan Baig in IMA ponzi scam,1
SC notice to Centre on PIL to regulate content on OTT platforms,1
Not afraid of resigning: Punjab CM Captain Amarinder Singh presents draft resolution against farm laws,1
"Fact Check: No, Maharashtra Is Not Planning To Ban EVMs; Here?s.... Fact Check: Indian Railways is not being fully privatized; here?s the...",0
Security forces unearth tunnel along IB suspected to be used by terrorists to sneak in J&K,1
"Wedding procession stopped as groom, father COVID-19 test positive",1
"Fact Check: No, the man PM Modi is paying homage to is not Nathuram Godse",0
26/11: Extradition hearing for Tahawwur Rana to be held on February 12,1
"Tehelka expose: Jaya Jaitly, 2 others convicted in corruption case",1
Fact Check: 2012 video of submerged railway bridge shared as a...,0
Delhis Ghazipur poultry market to be opened after samples test negative for bird flu,1
CBI books BSF commandant for cattle smuggling on Indo-Bangladesh border,1
Did a migrant family en route home from Surat commit suicide?...,0
"COVID-19 positivity rate in 22 states, UTs less than national average; cumulative rate stands at 8.19 pc",1
Fact Check: Old picture being shared with false ï¿½namaz during COVID-19...,0
"As Bihar votes, all eyes on Modi's 3 rallies in state",1
RSS affiliate BMS welcomes trend of 'correcting mistakes',1
Fact Check: Can Tea Cure COVID-19? No!.Fact Check: Is 24 the magic number for Covid patients?,0
"Delhi health minister reacts on shortage of beds, asks hospitals to submit real-time data",1
YSRCP MLA retorts to TDP leader's comment on English medium in Andhra schools,1
This picture of an elephant and a falling bus is not...,0
"Fact Check: Did 6 lakh votes of Rahul Gandhi from Wayanad seat get deleted?. Fact Check: No, Rahul Gandhi hasnt won Wayanad seat by highest votes",0
Embarrassment for Modi govt! Now BJP MLA Sangeet Som embroiled in degree row,0
Fake Kannada Prabha Article Claims RSS Pre-Poll Survey Predicted BJP...,0
"Lawyers, Activists Welcome Supreme Court Judgement On Adultery Law",1
"UP: Car catches fire after collision with truck, 5 charred to death",1
Fact Check: Picture Of Camel Hair Art From Bikaner Falsely Attributed...,0
25 died after bus carrying wedding party fell into Mej river in Rajasthan,1
Congress twitter handle shares old video as public outrage in PM Modiâs Jaipur rally,0
Village recalls Ôour man in DelhiÕ: Never expected anything for getting work done,1
"Home Ministry acting as political slave of Narendra Modi, Amit Shah: TMC MP Kalyan Banerjee",1
Fact Check: Incident Of Honor Killing Falsely Shared As 'Love Jihad'.... Fact Check: Incident Of Honor Killing Falsely Shared As 'Love Jihad' Case,0
Delhi-NCR's air quality on brink of 'emergency',1
Modi govt has started war on India: Sonia Gandhi on police crackdown on Jamia students,1
Narrow escape for Nagpur Mayor as 2 bike-borne man fire at him,1
"2 killed, 10 injured in clash between two families in OdishaÕs Puri",1
"Contest 2024 poll on Rafale plank, Goyal dares Rahul",1
Fact Check: Old picture of Mexican MP protesting against oil and...,0
Mumbai court orders FIR against Kangana Ranaut for allegedly creating religious disharmony,1
BJP MP Arjun Singh falsely claims Kali temple idol was burned by religious group in Bengal.Old Image Of Rajiv And Rahul Gandhi Revived With Misleading Claim,0
Two Naxals killed in encounter in MaharashtraÕs Gadchiroli,1
"TMC wants Delhi land cleared of ?illegal? temples to build office, govt says it?s party?s job",0
Not even a semblance of justice in case: Military veterans on attack on ex-Navy official,1
"RSS has infiltrated Tripura Congress, Pradyot Debbarma says after quitting party",1
"Frustrated With Kejriwal Ads, Aliens Threaten To Destroy Earth",0
ItÕs not Tukaram Omble in viral 26/11 image but actor who played him in film,0
Ninja drones to protect rail assets,1
"15-year-old girl raped, beaten up with iron rod by three men in UP's Bareilly",1
Fact Check: Why Giriraj Singh is wrong about Rahul Gandhi's photo,0
"Denial of OBC quota in NEET admissions violates 93rd Constitutional Amendment, Sonia says to PM",1
Delhi High Court extends 1984 anti-Sikh riot convictÛªs parole by another 3 months,1
"J&K voted for development, Article 370 is a false narrative  Apni Party chief Altaf Bukhari",1
Handling J&K might be most challenging job of SinhaÛªs political career,1
BJP media head to get PriyankaÛªs Delhi bungalow,1
"Fact Check: Social media users share old photos of mask-less Biden, Harris with false claims. TrollKejri Twitter Account To Be Closed For Being Less Funny Than Original",0
"ED chargesheet against Saeed, others in terror financing case",1
Rahul-led meeting fake attempt for unity: Venkaiah,0
Dollar smuggling case: Customs to quiz Speaker,1
"Biden Stings Trump, Says Risk Of More COVID-19 Deaths Due To...",1
Fact Check: Viral message attributed to Ratan Tata is false,0
Let us code for an Aatmanirbhar Bharat: PM launches Aatmanirbhar Bharat App innovation challenge,1
IAS officers dont fight polls: Bihar BJP tells CM Nitish to make MLAs face of Covid relief,1
"Kartarpur corridor high point of diplomacy for Imran Khan govt, says Pakistan",1
"India, China generals discuss LAC standoff",1
Convalescent plasma doesnÕt stop COVID deaths or severity: ICMR study in BMJ,1
Rahul Gandhi gets front row view of Republic Day parade after last years cheap seat politics,1
History will judge your silence and indifference: Kangana Ranaut targets Sonia Gandhi,1
"When Parliament makes bad laws, judges do lawmakers job: Former Vice President Hamid Ansari",1
"Government open to further stimulus to lift economy, says DEA Secretary",1
Linking Aadhaar to property will lead to major reduction in black money: Survey,1
Four booked for offering ÔnamazÕ in UP temple,1
NewsMobile Fake News Buster,0
Old video of Akhilesh YadavÕs arrest shared with FAKE claim; hereÕs...,0
Rajya Sabha Marshals return to original uniform after military-like attire received criticism,1
"Material mindset causing unchecked desires, stress and divorce, says RSS",1
UP journalist shot in head in front of daughters dies; Opposition slams ÔgoondarajÕ,1
Ladakhis raising voice against Chinese intrusion; ignoring warning will cost India: Rahul,1
BJP claims LJP-RJD pact in Bihar as it fears talk of ?deal? with Chirag Paswan will hurt party,0
Farmer drove 300 km to ensure daughter appears for JEE exam,1
UP: 15 get life for shooting 3 men dead in 1996,1
"2,008 fresh COVID-19 cases take Delhi tally to 1,02,831; death toll climbs to 3,165",1
Over 1 lakh vacancies in CAPFs: Government,1
Lok Sabha Approves Amendment To Lokpal Act For Deferring Asset Filing,1
Fact Check: Old Video Shared To Claim Dalit Farmers Burnt Alive Amid Protests,0
"Day after quitting, Mansukh Vasava withdraws resignation after talks with senior BJP leaders",1
Did a protester ask for âMuslim rashtraâ in anti-CAA protest attended by Priyanka Gandhi? Morphed image viral,0
Plea to replace police with another security force in Delhi courts rejected,1
" Fact Check: No, PM Modi has not announced another Covid-19 lockdown.Fact check: No, Jio has not offered Rs 498 free recharge amid coronavirus lockdown",0
BJP & RSS spooked as more voters pick NOTA,1
"Tractor rally on R-Day will be embarrassment to nation, Centre tells SC in injunction plea",1
Fact Checked: This tweet by Bill Gates on animal slaughter is.... Fact Check: Claims about caged dogs being slaughtered in China is...,0
Fact Check: Claim about Ram Mandir trust chief testing positive for COVID-19 is TRUE,0
Amit Shah restores calm in BJP-JD(U) alliance by insisting Nitish will lead NDA in Bihar,1
Fact Check: Viral video of shoe thrown at Madhya Pradesh CM Shivraj Singh Chouhan dates back to 2018,0
Telangana to act against negligent hospitals and those fleecing patients,1
Fact Check: Afzal Guru at peace over Pranabs death? Thats a fake Rana Ayyub tweet,0
Fact Check: This is not a Wuhan lab that Obama was visiting,0
"Man tied to tree, burnt alive over affair in UP; his family torches police vehicles",1
Fact Check: Truth behind lawyer Rajeev Dhavan's number shared on social media,0
Terror suspect in NIA custody tests +ve,1
"Smog effect: Schools to remain closed in Meerut, Ghaziabad, Gautam Budh Nagar till 5 November",1
"Fact Check: No, CM Ashok Gehlot did NOT visit mosque after...",0
Noida begins random COVID-19 tests at borders for people coming from Delhi,1
Modi defends farm Bills as he inaugurates rail projects in Bihar,1
"After AIADMK, DMK blows Tamil Nadu poll bugle, announces manifesto panel",1
"Delhi needs to be prepared for 15,000 Covid cases per day during winter season: Report",1
Congress soft Hindutva has no magic in communally polarised Mangalore,1
"Farmers to intensify protests, threaten to hold one chakka jam every week",1
Fact checked: The myth of ATM reverse PIN.Fact Check: Are these photographs of Earth really sent by Chandrayaan-2?,0
From rainbow to gray: The evolution of hair dye,1
"Until just a few years ago, Mamata & Modi actually liked and praised each other",1
"Bihar poll: JD-U seeks more seats, BJP says can form govt on its own",1
Did the govt announce 104 as a nationwide helpline number for...,0
